Story_Index,Story_Text_Preview,Role_Similarity,Means_Similarity,Ends_Similarity,Average_Similarity,Role_Chunked,Role_GT,Means_Chunked,Means_GT,Ends_Chunked,Ends_GT
1,As a collection manager or cataloger I want to be ...,1.000,1.000,1.000,1.000,"collection manager, cataloger","collection manager, cataloger",see who last edited a record and when,see who last edited a record and when,,
2,As an end user I want to be able to search across ...,1.000,1.000,1.000,1.000,end user,end user,search across all collections at once,search across all collections at once,,
3,As a cataloger and a collections manager I want Tr...,1.000,1.000,1.000,1.000,"cataloger, collections manager","cataloger, collections manager",Trident to support Duke Core,Trident to support Duke Core,metadata is consistent between collections,metadata is consistent between collections
4,As a collections manager I want required DC fields...,1.000,1.000,1.000,1.000,collections manager,collections manager,required DC fields to be enforced,required DC fields to be enforced,all records have values for all required DC fields,all records have values for all required DC fields
5,As a collections manager I want to be able to repe...,1.000,1.000,1.000,1.000,collections manager,collections manager,repeat repeatable DC Fields,repeat repeatable DC Fields,I can enter all of the relevant metadata,I can enter all of the relevant metadata
6,As a collection manager I want to be able to creat...,1.000,1.000,1.000,1.000,collection manager,collection manager,create controlled vocabularies,create controlled vocabularies,they can be used as authority lists during metadata creation,they can be used as authority lists during metadata creation
7,As a cataloger I want authority lists to be easily...,1.000,0.953,1.000,0.984,cataloger,cataloger,authority lists are easily accessible and contextually relevant,authority lists to be easily accessible and contextually relevant,it is easy to use the authority,it is easy to use the authority
8,As a collection manager I want to use external aut...,1.000,1.000,0.976,0.992,collection manager,collection manager,use external authority lists,use external authority lists,they can be used during metadata creation,I they can be used during metadata creation
9,As a cataloger I want to be able to see/hear/watch...,1.000,1.000,0.962,0.987,cataloger,cataloger,see/hear/watch/read the digital object I am cataloging,see/hear/watch/read the digital object I am cataloging,I do not have to move between multiple applications while I am creating metadata,I don't have to move between multiple applications while I'm creating metadata
10,As a cataloger I want to be able to see/hear/watch...,1.000,1.000,0.951,0.984,cataloger,cataloger,see/hear/watch/read all components associated on the with an item on the create/update screen,see/hear/watch/read all components associated on the with an item on the create/update screen,I do not have to leave the form,I don't have to leave the form
